agglomeration,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,loyer_mensuel_moyen,surface_moyenne,nombre_logements
Agglomération de La Rochelle,429.0,508.0,610.0,784.0,950.0,665.0,60.0,15848.0
Agglomération de Besançon,344.0,423.0,509.0,611.0,742.0,533.0,59.0,19990.0
Agglomération de Montbéliard,350.0,392.0,480.0,600.0,743.0,510.0,68.0,7406.0
Agglomération de Brest,330.0,395.0,463.0,580.0,780.0,510.0,62.0,26930.0
Agglomération d'Ajaccio,480.0,597.0,730.0,880.0,1065.0,757.0,70.0,11313.0
Agglomération de Bastia,470.0,550.0,660.0,800.0,913.0,691.0,68.0,11563.0
Agglomération de Nîmes,385.0,460.0,565.0,700.0,880.0,602.0,65.0,35299.0
Agglomération de Toulouse,404.0,472.0,567.0,700.0,909.0,620.0,58.0,159592.0
Agglomération de Bordeaux,420.0,500.0,607.0,780.0,994.0,670.0,59.0,134946.0
Agglomération de Montpellier,420.0,500.0,610.0,765.0,965.0,662.0,55.0,80295.0
Agglomération de Sète,419.0,500.0,590.0,750.0,924.0,636.0,62.0,
Agglomération de Rennes,395.0,460.0,552.0,675.0,850.0,600.0,58.0,73450.0
Agglomération de Vitré,355.0,419.0,522.0,631.0,750.0,536.0,79.0,6649.0
Agglomération de Saint-Malo,399.0,465.0,575.0,700.0,800.0,594.0,67.0,7577.0
Agglomération de Grenoble,417.0,510.0,620.0,758.0,970.0,669.0,63.0,57575.0
Sud Loire - proche Haute-Loire,330.0,400.0,486.0,600.0,760.0,519.0,74.0,37220.0
Agglomération de Nantes,400.0,472.0,560.0,700.0,900.0,618.0,56.0,82999.0
Agglomération de Nancy,350.0,400.0,505.0,645.0,798.0,549.0,60.0,45096.0
Golfe du Morbihan - Vannes Agglomération,366.0,435.0,560.0,733.0,920.0,612.0,69.0,17490.0
Lorient Agglomération,369.0,440.0,520.0,655.0,820.0,564.0,67.0,18953.0
Auray Quiberon Terre Atlantique,400.0,457.0,575.0,720.0,856.0,603.0,75.0,7891.0
Agglomération de Lille,420.0,504.0,620.0,754.0,930.0,658.0,62.0,112425.0
Agglomération d'Alençon,300.0,363.0,455.0,581.0,660.0,473.0,66.0,5445.0
Agglomération d'Arras,353.0,442.0,575.0,713.0,810.0,587.0,68.0,9855.0
Unité urbaine de l'agglomération de Bayonne,420.0,500.0,605.0,762.0,950.0,665.0,67.0,44786.0
Eurométropole de Strasbourg,390.0,482.0,600.0,740.0,950.0,646.0,64.0,77866.0
Agglomération de Lyon,457.0,550.0,665.0,829.0,1060.0,729.0,62.0,204576.0
Agglomération de Chalon-sur-Saône,304.0,397.0,470.0,624.0,767.0,514.0,70.0,11037.0
Agglomération de Mâcon,313.0,390.0,480.0,625.0,800.0,521.0,73.0,7624.0
Agglomération parisienne,,671.0,832.0,1146.0,,992.0,53.0,4.0
Paris intra-muros,,760.0,1000.0,1409.0,,1192.0,50.0,4.0
Agglomération parisienne (hors Paris),,642.0,779.0,1000.0,,885.0,54.0,4.0
Agglomération de Toulon,424.0,520.0,630.0,780.0,980.0,677.0,59.0,81207.0
Agglomération de Draguignan,405.0,495.0,620.0,765.0,992.0,663.0,64.0,10268.0
Agglomération de Fréjus,487.0,580.0,690.0,810.0,1000.0,721.0,58.0,13943.0
Communes non TLV,435.0,530.0,650.0,899.0,1089.0,718.0,69.0,17112.0
La Roche-sur-Yon Agglomération,339.0,403.0,506.0,650.0,733.0,531.0,65.0,8706.0
Les Sables d'Olonne Agglomération,420.0,485.0,600.0,749.0,850.0,620.0,66.0,5769.0
Pays de Challans,417.0,499.0,600.0,684.0,755.0,597.0,73.0,4920.0
Pays de Saint Gilles Croix de Vie,450.0,529.0,615.0,698.0,780.0,619.0,71.0,4655.0
Agglomération de Cap Excellence,480.0,550.0,650.0,800.0,1100.0,736.0,71.0,9709.0
Agglomération CINOR,400.0,518.0,674.0,857.0,1152.0,738.0,70.0,30351.0
Agglomération TCO,545.0,650.0,800.0,962.0,1300.0,877.0,79.0,17134.0
Agglomération CIVIS,500.0,590.0,700.0,811.0,966.0,725.0,79.0,16526.0
Agglomération CASUD,459.0,557.0,670.0,750.0,900.0,675.0,79.0,15040.0
Agglomération CIREST,450.0,575.0,680.0,800.0,900.0,684.0,82.0,10808.0
